LinkRef,LinkName,GeographyWkt
"200:28008->200:109","Digevej (28008) - Røde Mellemvej (109)","LINESTRING (12.586417544674415 55.641271057569675, 12.586625493618403 55.641326049759321, 12.58772384695639 55.641622374099406, 12.588775250677852 55.64190234966388, 12.589108176913587 55.641994478158104, 12.589165637892025 55.642007362210869, 12.589603143386697 55.642123402274109, 12.590024137511513 55.64222751568294, 12.59040047812918 55.642304071908427, 12.590744177138603 55.642355776653446, 12.591039876092028 55.642390273713005, 12.591233004134546 55.64240889276266, 12.591405293198868 55.642416972241492, 12.591689882900157 55.642436057489057, 12.592151008534561 55.642438769946594)"
"200:1246->200:1247","Aldersrogade (1246) - Lersø Park Allé (1247)","LINESTRING (12.553432786539444 55.70613364890913, 12.553854778215669 55.70636823332179, 12.554435109989084 55.706691035249335, 12.554717512458746 55.706844073134008, 12.555190284024613 55.707113430761616, 12.556036734687439 55.707577954555823, 12.556326119502966 55.707742835387869, 12.5565070546083 55.707834160627193, 12.556702023806157 55.707948457136439, 12.557084585856753 55.708159187853653)"
"200:1258->200:1260","Skt. Kjelds Plads (1258) - Lyngbyvej (1260)","LINESTRING (12.565725229596181 55.710665605369996, 12.565479213492003 55.710686463331641, 12.565449903439402 55.710765003793348, 12.565348230417499 55.710860393843333, 12.565184057869921 55.710911382694363, 12.564965919285777 55.710906752201282, 12.564818125859901 55.7108836797542, 12.564789651560709 55.7108792345276, 12.564766996310155 55.710875307084407, 12.564702724960702 55.710827180703632, 12.564654654828509 55.71075061923581, 12.564623777564506 55.710639029921261, 12.563680466794558 55.710462684333145, 12.562883984836519 55.710314077775706, 12.561106600546429 55.709962498139234, 12.560905632953045 55.709898016707051, 12.560458188461313 55.709816160939042)"
"200:2666->200:45842","Artillerivej (2666) - Vandrerhjem (45842)","LINESTRING (12.564682872594032 55.641447464129726, 12.564971164643252 55.641444963153845, 12.566210659139356 55.641391457903957, 12.567491441361538 55.641337457556418, 12.569078522099488 55.641265352456649, 12.570766204521854 55.641187687986047, 12.572450945043597 55.6411126935264, 12.573785216673953 55.641043939771492, 12.574877509716396 55.641001292735318, 12.575841126700121 55.6409475539012, 12.576014769228472 55.640940958713209, 12.576881315473633 55.64089456991622)"
"200:1195->200:795","Irlandsvej (1195) - Vejlands Allé (795)","LINESTRING (12.607431196051435 55.642931895918508, 12.608045554251298 55.642991775490081, 12.609294692134128 55.643124043002047, 12.610540278447125 55.64325217630919, 12.611793328004918 55.643376660176664, 12.613036656260407 55.643499080021606, 12.614369913075679 55.643639696621335, 12.614858529176145 55.64368822936423, 12.615268818495514 55.643735653807006, 12.615526769517228 55.643798361487661, 12.615316997572929 55.644216655525021)"
"200:1988->200:1241","Borups Allé (1988) - Hillerødgade (1241)","LINESTRING (12.533495232236922 55.694190000364657, 12.533581696390362 55.694280642843751, 12.533919160687327 55.694662775287064, 12.534184288796027 55.694971911135767, 12.53433082682951 55.695127829555027, 12.534460111688082 55.695265452487284, 12.534609476125556 55.695424436225885, 12.534966565750123 55.695776867565861, 12.535343193691936 55.696211547769991, 12.5357364171558 55.696637745963081, 12.535718839964844 55.696772677681736, 12.535655517962796 55.697109621459596, 12.53564837325685 55.697183828607059, 12.535600622212721 55.697391832951084, 12.535596275928251 55.697424777718346, 12.535583894732113 55.697518557742704, 12.535582255495665 55.697629022317031, 12.535590529675835 55.69768681225603)"
"200:2675->200:1188","Sankt Annæ Gymnasium (2675) - Sjælør St. (1188)","LINESTRING (12.526332511570223 55.655982346567946, 12.52635802499138 55.65589387941364, 12.526485080519102 55.65544837493573, 12.526609009980554 55.65501410983677, 12.526657732128216 55.654850408916026, 12.526877460848734 55.654111178018482, 12.526900374563178 55.654030043500427, 12.527122905864896 55.653242536082139, 12.527193568296152 55.652992243363954, 12.527211831310877 55.652930125046133, 12.527407095690794 55.652265597982371, 12.527471786685069 55.652047936725822, 12.527524154461478 55.651871811823156, 12.527558330760861 55.651710571901162)"
"200:109->200:1194","Røde Mellemvej (109) - Englandsvej (1194)","LINESTRING (12.592151008534561 55.642438769946594, 12.593113123766695 55.64244442376279, 12.593986848191413 55.642441823874385, 12.595315394817023 55.642445658018111, 12.596444748621645 55.6424462414854, 12.597158558852053 55.642447412414519, 12.597778444743234 55.64244899859731, 12.598281660072104 55.642449151567163, 12.59840886285399 55.642463130835672, 12.598492400588341 55.642493318658147, 12.599044178504565 55.6425184788195, 12.599631960067132 55.642546145446012)"
"200:1239->200:1240","Godthåbsvej (1239) - Mariendalsvej (1240)","LINESTRING (12.528209126931282 55.688540101298564, 12.528396926321868 55.688731111469792, 12.52905099195598 55.689444479821624, 12.52996614962569 55.69041387487124, 12.530775086832643 55.691297574337689, 12.53092871333474 55.6914585525434)"
"200:1190->200:1192","Mozarts Plads (1190) - Bådehavnsgade (1192)","LINESTRING (12.534114951717989 55.649162071714635, 12.534353578422822 55.6490823339824, 12.534974165023046 55.648863293959622, 12.535438395459575 55.648682569433106, 12.536501383349513 55.64832307808755, 12.536585520188275 55.64829511408746, 12.536750210432594 55.648231196788231, 12.536881806109902 55.648105382334748, 12.537532520315862 55.647894541107142, 12.53859520246308 55.647532239025509, 12.539069710708118 55.6473704590145, 12.540017246946462 55.647039716075483, 12.541029345655163 55.646670504087751, 12.541091961872624 55.646650801569137, 12.541195859830745 55.646618127186187, 12.541566166710727 55.646575776976924, 12.542115413534468 55.646604504200489, 12.542189120081362 55.646461204279539, 12.542246476920727 55.64627422752816, 12.542416202091179 55.646004066816353, 12.542576419071947 55.645864470535145, 12.542792285469124 55.64567857683997)"
