LinkRef,LinkName,GeographyWkt
"200:1629->200:27640","Persiensvej (1629) - Kastrupvej (27640)","LINESTRING (12.620621307758761 55.6511687955035, 12.620660564281851 55.651054941202368, 12.620788471197889 55.65073707268364, 12.620883558841895 55.650440945034482, 12.621122925444775 55.649773591721846, 12.62138723882777 55.649045883780914, 12.621543050066515 55.648618836234682, 12.621612013947175 55.64842041336501, 12.621659070872196 55.648318762169993, 12.621712247432969 55.648226551549172, 12.621757136485867 55.648146185468143, 12.621881609279674 55.647997826046563, 12.622110923677546 55.647788099999218, 12.622246212628056 55.6476879772773, 12.622480847793987 55.647556503416219, 12.622506128574322 55.6475427178121, 12.622578948438528 55.647503068861845, 12.622893558937319 55.647349178141241, 12.623279062765306 55.647160639733535, 12.623680676428902 55.6469761197404, 12.624098409043915 55.646766483646857, 12.623493546066923 55.646671324711576)"
"200:2677->200:7058","Sjælør Boulevard 167 til 185 (2677) - Vestre Kirkegård Nord (7058)","LINESTRING (12.524917511478877 55.660863086607307, 12.524844587765429 55.661114251578653, 12.524819539514167 55.661205337694042, 12.524606875109729 55.661979697171105, 12.524494624815175 55.662337374454296, 12.524453374216883 55.662474693663128, 12.524341548061127 55.662605499704142, 12.524018512599515 55.662549236806932, 12.523503800160166 55.662494705696574, 12.523307532385925 55.662483641597305)"
"200:1241->200:47380","Hillerødgade (1241) - Nørrebro St. (47380)","LINESTRING (12.535590529675835 55.69768681225603, 12.53561247479495 55.697840084142534, 12.535735107978988 55.69812239327284, 12.535857621425928 55.6984033570055, 12.536165139114642 55.6989660901478, 12.536479875049126 55.699524028767954, 12.536795866383194 55.700081660738256, 12.536974897486708 55.700411706692719, 12.537212063038934 55.700954976196662, 12.537219109534725 55.700981837832209, 12.537265131287356 55.701152700593276, 12.537290577055233 55.701335486183808, 12.537273654326471 55.701419506549243, 12.537274313014178 55.701507785469119, 12.537299899140109 55.701600560681548, 12.537356292664319 55.701741721645639, 12.537410426809204 55.701915365324083)"
"200:1268->200:1269","Borups Allé (1268) - Mariendalsvej (1269)","LINESTRING (12.533410943851935 55.694101638321193, 12.532952536931875 55.693621068372344, 12.532420878672363 55.693057320990171, 12.531828635564565 55.6924200562404, 12.53112810806771 55.691667486867942, 12.530775086832643 55.691297574337689, 12.530640067722013 55.691150079947114)"
"200:1218->200:1219","Vejlands Allé (1218) - Irlandsvej (1219)","LINESTRING (12.615331941125666 55.644186857749624, 12.615526769517228 55.643798361487661, 12.615268818495514 55.643735653807006, 12.614858529176145 55.64368822936423, 12.614369913075679 55.643639696621335, 12.613036656260407 55.643499080021606, 12.611793328004918 55.643376660176664, 12.610540278447125 55.64325217630919, 12.609294692134128 55.643124043002047, 12.608045554251298 55.642991775490081, 12.607174734475583 55.642906898441808, 12.606748880712848 55.642876720143938, 12.60609978970167 55.642846736942417)"
"200:29848->200:1254","Svanemøllen St., Sløjfen (29848) - Østerbrogade (1254)","LINESTRING (12.578359366445678 55.714869053212318, 12.578371968067824 55.714924738601127, 12.578321278926632 55.7149486965549, 12.578105846636129 55.715010459357529, 12.577548205715656 55.714984461064823, 12.577556041714411 55.714774184741891, 12.577340566488534 55.714758887961892, 12.576872322108063 55.714722408521681)"
"200:1225->200:2676","Sjælør St. (1225) - Sankt Annæ Gymnasium (2676)","LINESTRING (12.527483966687578 55.652006972703326, 12.527471786685069 55.652047936725822, 12.527407095690794 55.652265597982371, 12.527211831310877 55.652930125046133, 12.527193568296152 55.652992243363954, 12.527122905864896 55.653242536082139, 12.526900374563178 55.654030043500427, 12.526877460848734 55.654111178018482, 12.526657732128216 55.654850408916026, 12.526609009980554 55.65501410983677, 12.526485080519102 55.65544837493573, 12.52635802499138 55.65589387941364, 12.526328085156845 55.655997695008111, 12.526045259187386 55.656979519480473)"
"200:1219->200:112","Irlandsvej (1219) - Englandsvej (112)","LINESTRING (12.60609978970167 55.642846736942417, 12.605430166172569 55.642815801632729, 12.604187032225383 55.642758940631481, 12.603809293341998 55.642741904093732, 12.602414674152488 55.642678419513913, 12.601142067373901 55.642619067040563, 12.599813516280886 55.642554690640353, 12.599044178504565 55.6425184788195, 12.598492400588341 55.642493318658147, 12.598266603699265 55.642536275663325, 12.597995478870208 55.6425374917385, 12.597593708594113 55.642535965865164)"
"200:2676->200:2677","Sankt Annæ Gymnasium (2676) - Sjælør Boulevard 167 til 185 (2677)","LINESTRING (12.526045259187386 55.656979519480473, 12.525951566732704 55.657304760678265, 12.525540410838891 55.658716764120086, 12.525264479642487 55.659668011988877, 12.524917511478877 55.660863086607307)"
"200:10025->200:10426","Toftegårds Plads (10025) - Valby St. (10426)","LINESTRING (12.518333163694111 55.661746695196889, 12.518326448192106 55.661746484313007, 12.518012526936 55.66174901911549, 12.517771279573417 55.661751356048171, 12.51749613417784 55.661753496203552, 12.51713257757565 55.661745314207558, 12.516976304658774 55.661726778916858, 12.516766579744832 55.661660322939646, 12.516777736614179 55.661855480387935, 12.516731134622431 55.662009674490108, 12.516640185318103 55.66218726001707, 12.516559551489863 55.662403573131229, 12.516526031590509 55.662522774202024, 12.516494136174732 55.662683110206395, 12.516455770464821 55.66285819818075, 12.516377807176481 55.663104286644831, 12.51627549609427 55.663460141499719, 12.516266394021857 55.663555443789413, 12.516241091292635 55.6636563359418, 12.516229959431204 55.663691812375852, 12.516219648371688 55.6637240282907, 12.516205420371723 55.663763999405951, 12.516195413860173 55.66379252002676, 12.51618480519671 55.663833825990132, 12.516177520072013 55.663862538306176, 12.51615373665337 55.663958520672992)"
"200:1990->200:1268","Hillerødgade (1990) - Borups Allé (1268)","LINESTRING (12.535446297287393 55.696323298421646, 12.535343193691936 55.696211547769991, 12.534966565750123 55.695776867565861, 12.534609476125556 55.695424436225885, 12.534460111688082 55.695265452487284, 12.53433082682951 55.695127829555027, 12.534184288796027 55.694971911135767, 12.533919160687327 55.694662775287064, 12.533581696390362 55.694280642843751, 12.533410943851935 55.694101638321193)"
"200:1255->200:10115","Thomas Laubs Gade (1255) - Kildevældsparken (10115)","LINESTRING (12.572141680967238 55.714302963100479, 12.571879191647287 55.714278706678485, 12.570603128159238 55.714171535918318, 12.569682782823532 55.71408574273071, 12.568640698604312 55.713981903876288, 12.568715481656513 55.713699218505468)"
"200:30467->200:28002","Ørestad St., Kay Fiskers Plads (30467) - Bella Center St. (28002)","LINESTRING (12.581100954376431 55.629580565476175, 12.580770218503426 55.629619025609848, 12.580729627682441 55.62960267763296, 12.580684773828894 55.629562266110028, 12.580699061754242 55.629520306194024, 12.580735406145642 55.629488402055934, 12.580841392867306 55.629470738038016, 12.581568355639529 55.629376657747656, 12.581732524307123 55.629352166971344, 12.581876290446088 55.62933573561839, 12.581922230636208 55.629483747595472, 12.581972826800142 55.629646190276496, 12.582220875276835 55.630463493143758, 12.582230980513421 55.630511484046821, 12.582078940402019 55.630524381037056, 12.581912648913173 55.630577888058568, 12.581543917302421 55.630684159595738, 12.581128221799769 55.630834873525821, 12.580632686898612 55.630988548409228, 12.580306052882628 55.631080727615846, 12.580105677819825 55.631114366842468, 12.580065287362855 55.631121121847528, 12.579936026969252 55.6311346094533, 12.579892306778817 55.631146676955183, 12.580037037019531 55.631471550610343, 12.580051414027045 55.631503681098835, 12.580129348583485 55.631678363909792, 12.580632163290051 55.632923881445926, 12.580689280081385 55.633068959607058, 12.580702081176408 55.633101225998594, 12.581365972141041 55.634785512652485, 12.581433628919205 55.634957168148972, 12.581892049032172 55.63612467063075, 12.582204470757359 55.636929211905205, 12.582569746415723 55.637870142543008, 12.582652702827163 55.638085590164749, 12.582665854363182 55.638119914268316, 12.582800314734161 55.6384692735248, 12.582838418853751 55.638672274763927, 12.582101247380336 55.638767827209747, 12.582049718193318 55.638774548652457, 12.581929368280862 55.638790148945596)"
"200:1221->200:1222","Sluseholmen (1221) - Bådehavnsgade (1222)","LINESTRING (12.546377585684588 55.643236171220629, 12.546095190757091 55.643371635963987, 12.545456000013882 55.64370330982868, 12.545251963952335 55.643817022726033, 12.544815944929022 55.644115211321768, 12.544465776483161 55.644376477249459, 12.544110835727002 55.644676454561974, 12.543541437505905 55.645217764604816, 12.542810324758978 55.6459385451248, 12.542689001787494 55.646052829820782, 12.542642690006307 55.64609633954332, 12.5425001521099 55.646290813860212, 12.542418693249049 55.646471473811019, 12.54234513692912 55.646618186390455, 12.542322447654955 55.64664159116024, 12.542115413534468 55.646604504200489, 12.541566166710727 55.646575776976924, 12.541264576806196 55.64670291176494, 12.541255045997625 55.64670569125132)"
"200:1626->200:1627","Øresundsvej (1626) - Sundby Kirkegård (1627)","LINESTRING (12.614342459918674 55.660061412902927, 12.614447850534667 55.659905656334594, 12.614716929456744 55.659503424785825, 12.61514725283056 55.658859499168962, 12.6152603349841 55.658673267672363, 12.615485533249627 55.658345522840342, 12.616067130081872 55.657467656708974, 12.616203268400321 55.657262490338631, 12.616299340648794 55.65711761367416)"
"200:1275->200:1276","Mathildevej (1275) - Roskildevej (1276)","LINESTRING (12.519993854818603 55.676078943474153, 12.519849196722834 55.675747308163771, 12.519670024446938 55.675325979591975, 12.519601630703855 55.675165194768738, 12.519524663319407 55.674990449273878, 12.519349225060925 55.674584029103173, 12.519133837015529 55.674081825835856, 12.51890477346465 55.673561941601442, 12.518646534362919 55.672952798411963, 12.518358321900802 55.6722720425452, 12.518199728980662 55.671980230097539, 12.518089870332496 55.67177216960895, 12.517967973267661 55.671540999029837)"
"200:1247->200:1248","Lersø Park Allé (1247) - Lyngbyvej (1248)","LINESTRING (12.557084585856753 55.708159187853653, 12.557530739953968 55.708404943201849, 12.557657352440028 55.708482016807196, 12.558432916931553 55.708915940785182, 12.558888766574485 55.709179031956296, 12.559135703349883 55.709319961178068, 12.559462926926654 55.709487333821606, 12.559717398006754 55.70960601361466, 12.559774386674903 55.709631964455959, 12.559860651829082 55.709661111963051, 12.560018767336055 55.709713261175985, 12.560265084717143 55.709780833807827, 12.560905632953045 55.709898016707051, 12.561106600546429 55.709962498139234, 12.561710988558094 55.710082054144387)"
"200:10427->200:1183","Valby St. (10427) - Toftegårds Plads (1183)","LINESTRING (12.516257925099419 55.663589212841124, 12.516266394021857 55.663555443789413, 12.51627549609427 55.663460141499719, 12.516377807176481 55.663104286644831, 12.516455770464821 55.66285819818075, 12.516494136174732 55.662683110206395, 12.516526031590509 55.662522774202024, 12.516559551489863 55.662403573131229, 12.516640185318103 55.66218726001707, 12.516731134622431 55.662009674490108, 12.516777736614179 55.661855480387935, 12.516766579744832 55.661660322939646, 12.516930910817772 55.661635737365543, 12.517156708855437 55.661619009158493, 12.517495857513143 55.661617551032748, 12.517944567142894 55.661621040532381, 12.518424912504416 55.661629644837831, 12.518542983226912 55.661631438418965)"
"200:28002->200:28000","Bella Center St. (28002) - Bella Center, Indgang Vest (28000)","LINESTRING (12.581929368280862 55.638790148945596, 12.581328725938292 55.638868004945927, 12.581116615809613 55.638895424077042, 12.580746127623733 55.638943296156647, 12.579641940693248 55.639095845809805, 12.577987717855267 55.6393055933588)"
"200:7035->200:2757","Rovsingsgade (7035) - Bispebjerg St. (2757)","LINESTRING (12.544595256186659 55.705091010003436, 12.544521337653149 55.705127591777661, 12.544167981794157 55.70531385849646, 12.54406737377955 55.705366938773885, 12.543763119159063 55.705534521628984, 12.54363040253325 55.70560759144162, 12.543015119011381 55.705959494370866, 12.542544176181428 55.706224322615661, 12.54252630347264 55.70623445983442, 12.542307101454256 55.7063584008165, 12.542236399729321 55.706400635156072, 12.542138705230558 55.706458864592278)"
"200:1233->200:1234","Roskildevej (1233) - Mathildevej (1234)","LINESTRING (12.517883822255612 55.671381409872986, 12.518089870332496 55.67177216960895, 12.518199728980662 55.671980230097539, 12.518358321900802 55.6722720425452, 12.518646534362919 55.672952798411963, 12.51890477346465 55.673561941601442, 12.519133837015529 55.674081825835856, 12.519349225060925 55.674584029103173, 12.519524663319407 55.674990449273878, 12.519601630703855 55.675165194768738, 12.519670024446938 55.675325979591975, 12.519718558814539 55.675440110472472)"
"200:1277->200:1102","Aurikelvej (1277) - Valby Langgade (1102)","LINESTRING (12.517171978348914 55.668419638332438, 12.517182392160322 55.66826513546647, 12.517186155931405 55.668207840915763, 12.517195915757242 55.668059649103959, 12.517198148060821 55.668026046394658, 12.517199431372852 55.66800667763831, 12.517210920788395 55.667573042782706, 12.517221162496925 55.667470964046814, 12.517248369488465 55.66686513865772, 12.517254254963683 55.666608259571859, 12.517262964840256 55.666381061655123, 12.517255915936042 55.666338195909589)"
"200:28573->200:29848","Thomas Laubs Gade (28573) - Svanemøllen St., Sløjfen (29848)","LINESTRING (12.571898170505456 55.715544033849632, 12.572316723711207 55.71565222554058, 12.572415233119276 55.715668689304188, 12.572556975440072 55.715671934993637, 12.572807330296305 55.715685415191189, 12.575827992804632 55.715953212157551, 12.576054100570353 55.716063784236361, 12.576977793484089 55.715776364369873, 12.577477733979448 55.715761786705976, 12.577500275876977 55.715552070667748, 12.577515762318889 55.715409728901761, 12.577527709048248 55.715298332132164, 12.577541023968708 55.715174037225935, 12.577548205715656 55.714984461064823, 12.577556041714411 55.714774184741891, 12.577554147665438 55.7145289444099, 12.577889032142162 55.714550649271537, 12.578132757056558 55.714604864772333, 12.578145475802204 55.714611885326931, 12.578272163102879 55.714681814581226, 12.57834067534675 55.714786458672378, 12.578359366445678 55.714869053212318)"
"200:1261->200:1262","Lersø Park Allé (1261) - Aldersrogade (1262)","LINESTRING (12.557321354166804 55.708289607690958, 12.556702023806157 55.707948457136439, 12.5565070546083 55.707834160627193, 12.556326119502966 55.707742835387869, 12.556036734687439 55.707577954555823, 12.555190284024613 55.707113430761616, 12.554717512458746 55.706844073134008, 12.554435109989084 55.706691035249335, 12.554200448554139 55.7065605088972)"
"200:42515->200:50566","Sundbyvester Plads (42515) - Wibrandtsvej (50566)","LINESTRING (12.61447368170067 55.646010534022778, 12.614385264882712 55.646216791556348, 12.614796185795823 55.646219059670827, 12.615035013887567 55.6462139037416, 12.615384603989643 55.646202872369436, 12.615832249163295 55.646191285073847, 12.616058182706622 55.646196308815611, 12.616322706330799 55.646202531400419, 12.616577383352229 55.646217496431568, 12.616839400559687 55.6462379092664, 12.617113802274254 55.646270185129872, 12.617609251505854 55.646335500623152, 12.617869493821894 55.646353895507985, 12.618144447553362 55.646364572038692, 12.618406971494448 55.646368061661647, 12.618961483653166 55.64637039256808, 12.61964616982106 55.646366988199368, 12.620941313026517 55.646324324915078, 12.621149230496542 55.646327084036045, 12.621257347125699 55.6463321622081, 12.621417529360693 55.646343165206027, 12.621690657130653 55.64637708708203, 12.622322540004671 55.646487088513545, 12.624098409043915 55.646766483646857, 12.623680676428902 55.6469761197404, 12.62341296727093 55.647099118111711)"
"200:48751->200:1626","Lergravsparken St., Sløjfen (48751) - Øresundsvej (1626)","LINESTRING (12.616782462115447 55.661403848152062, 12.616777292633444 55.661395795635983, 12.616776760047314 55.661350401940439, 12.616795491183698 55.661301742294818, 12.6168425880319 55.661226079115579, 12.616884329314141 55.66117683046263, 12.61693299206209 55.66111640737757, 12.616970511904388 55.661062787265216, 12.616998074258783 55.661027085194377, 12.617041510839304 55.660987587699005, 12.617111216874482 55.660943178752575, 12.616918065031276 55.6609202834948, 12.616856789441979 55.660913009561476, 12.616614192610793 55.660893820682354, 12.615545482411111 55.660806472460266, 12.615381276357995 55.660795579563413, 12.61526085870684 55.660776561162237, 12.614372646718564 55.660592161483009, 12.61403127929945 55.660521298570316, 12.614342459918674 55.660061412902927)"
"200:1236->200:1237","Fasanvej St. (1236) - Nyelandsvej (1237)","LINESTRING (12.522665443938394 55.681696209075589, 12.522686454262276 55.681723117874469, 12.522702628850201 55.681743693594782, 12.522725924898911 55.681776203406422, 12.522738236122594 55.681792753965311, 12.522831762492617 55.681917748033669, 12.522988985456175 55.682128040805054, 12.523170550745029 55.682357685323971, 12.523537974127395 55.682838070489389, 12.523677487187365 55.683015962037771, 12.524115765423714 55.683600860255595, 12.524555925283138 55.684146409648093, 12.524669244244842 55.684266607543812, 12.524968989445361 55.684639146505226)"
"200:1260->200:1261","Lyngbyvej (1260) - Lersø Park Allé (1261)","LINESTRING (12.560458188461313 55.709816160939042, 12.560265084717143 55.709780833807827, 12.560018767336055 55.709713261175985, 12.559860651829082 55.709661111963051, 12.559774386674903 55.709631964455959, 12.559717398006754 55.70960601361466, 12.559462926926654 55.709487333821606, 12.559135703349883 55.709319961178068, 12.558888766574485 55.709179031956296, 12.558432916931553 55.708915940785182, 12.557657352440028 55.708482016807196, 12.557530739953968 55.708404943201849, 12.557321354166804 55.708289607690958)"
"200:1607->200:1608","Persiensvej (1607) - Amager Hospital (1608)","LINESTRING (12.620619440862601 55.651174209980461, 12.620567377856597 55.651325205453361, 12.620480027376084 55.651555372811373, 12.620426821262017 55.651680044684916, 12.620276802312604 55.65193076626305, 12.620006591060335 55.652397068405932, 12.619903405551415 55.652560892489369, 12.619684779997225 55.652933232702736, 12.619535589887377 55.653179252884939, 12.619424506609446 55.653362642463613, 12.619325594883021 55.6535314651932, 12.619153365065007 55.653772590112929, 12.619087542284205 55.6538672245687)"
"200:1102->200:10427","Valby Langgade (1102) - Valby St. (10427)","LINESTRING (12.517255915936042 55.666338195909589, 12.517238432520301 55.666231875428053, 12.517180067237218 55.666074398441282, 12.517106082485418 55.665870523261979, 12.517007235689034 55.665667900748524, 12.516897688681329 55.665484287642222, 12.516805242621251 55.665338757883674, 12.516698573016672 55.665181857056346, 12.516471123290408 55.664838427930988, 12.516337539101759 55.664627989526906, 12.516195698037233 55.664472636568476, 12.516145089334255 55.664417440948334, 12.516140764433343 55.664294829639239, 12.516135374644799 55.664256050587454, 12.516140270104293 55.664012867219057, 12.516177520072013 55.663862538306176, 12.51618480519671 55.663833825990132, 12.516195413860173 55.66379252002676, 12.516205420371723 55.663763999405951, 12.516219648371688 55.6637240282907, 12.516229959431204 55.663691812375852, 12.516241091292635 55.6636563359418, 12.516257925099419 55.663589212841124)"
"200:1250->200:1251","Nygårdsvej (1250) - Kildevældsparken (1251)","LINESTRING (12.56926718166938 55.71168525831331, 12.569145296805884 55.712118521796469, 12.569075196366528 55.712360820711375, 12.568961219351218 55.71280644053882, 12.568938517019678 55.712856106005667, 12.56870425097566 55.713741671538138)"
"200:50566->200:1607","Wibrandtsvej (50566) - Persiensvej (1607)","LINESTRING (12.62341296727093 55.647099118111711, 12.623279062765306 55.647160639733535, 12.622893558937319 55.647349178141241, 12.622578948438528 55.647503068861845, 12.622506128574322 55.6475427178121, 12.622480847793987 55.647556503416219, 12.622246212628056 55.6476879772773, 12.622110923677546 55.647788099999218, 12.621881609279674 55.647997826046563, 12.621757136485867 55.648146185468143, 12.621712247432969 55.648226551549172, 12.621659070872196 55.648318762169993, 12.621612013947175 55.64842041336501, 12.621543050066515 55.648618836234682, 12.62138723882777 55.649045883780914, 12.621122925444775 55.649773591721846, 12.620883558841895 55.650440945034482, 12.620788471197889 55.65073707268364, 12.620660564281851 55.651054941202368, 12.620619440862601 55.651174209980461)"
"200:1235->200:1236","Peter Bangs Vej (1235) - Fasanvej St. (1236)","LINESTRING (12.521311928346174 55.679149809861919, 12.521406653225787 55.679382944918473, 12.521623970008216 55.679941286954694, 12.521792387907869 55.680348715242935, 12.521828766944633 55.680416995719185, 12.521970074237142 55.680682235884682, 12.522119648354813 55.680943821657515, 12.522300376245866 55.681210267054574, 12.52243894930376 55.68139906671238, 12.522470523101594 55.681442218635929, 12.522636808720266 55.681659534688883, 12.522665443938394 55.681696209075589)"
"200:2673->200:2675","Vestre Kirkegård Nord (2673) - Sankt Annæ Gymnasium (2675)","LINESTRING (12.524595018037555 55.662017479149839, 12.524606875109729 55.661979697171105, 12.524819539514167 55.661205337694042, 12.524844587765429 55.661114251578653, 12.525264479642487 55.659668011988877, 12.525540410838891 55.658716764120086, 12.525951566732704 55.657304760678265, 12.526328085156845 55.655997695008111, 12.526332511570223 55.655982346567946)"
"200:1183->200:2673","Toftegårds Plads (1183) - Vestre Kirkegård Nord (2673)","LINESTRING (12.518542983226912 55.661631438418965, 12.518736304110247 55.661634374859332, 12.518846952352614 55.6616337166127, 12.519039693060412 55.661640322881546, 12.519236433627135 55.66165958211873, 12.5194486233689 55.661698538745362, 12.520505475488557 55.661948552716993, 12.521010736872393 55.6620644207982, 12.521523235413383 55.662168749510592, 12.521823466440676 55.662226213496695, 12.522105209112802 55.662263796937147, 12.522442777600828 55.662295999266846, 12.522780663916789 55.662328191541562, 12.523134335808358 55.662348419966939, 12.523755522564237 55.662396565352047, 12.524188007153015 55.662435296083885, 12.524453374216883 55.662474693663128, 12.524494624815175 55.662337374454296, 12.524595018037555 55.662017479149839)"
"200:1262->200:7035","Aldersrogade (1262) - Rovsingsgade (7035)","LINESTRING (12.554200448554139 55.7065605088972, 12.553854778215669 55.70636823332179, 12.553019212427889 55.705903739594454, 12.552723818146976 55.706072077669006, 12.55232046824365 55.706370324161007, 12.55161449448063 55.706892502573361, 12.551398123759888 55.707063134993945, 12.550767576185574 55.707560375460758, 12.550627737887472 55.707670704809786, 12.549942773485721 55.70821078756142, 12.549793421346841 55.70830934234727, 12.54897697679846 55.707743111558081, 12.548833732193357 55.707642232921465, 12.548243270381954 55.707226724090795, 12.548167060347989 55.707173090169334, 12.547691109271359 55.706833033669881, 12.547347818814123 55.706587777832638, 12.547051794092276 55.706345650205023, 12.5466781521607 55.70603428230514, 12.546352988021805 55.705742912014145, 12.546251475941688 55.705641992957275, 12.546045809719779 55.705444367156979, 12.546019293839016 55.705418878005609, 12.545904246994063 55.705316191944917, 12.545803588250571 55.705215877297, 12.545320986457853 55.704735194959135, 12.545206925907586 55.704790912949449, 12.54516346584639 55.704812130501139, 12.544843543589284 55.70496838991761, 12.544800543349096 55.704989414212662, 12.544595256186659 55.705091010003436)"
"200:1249->200:1250","Skt. Kjelds Plads (1249) - Nygårdsvej (1250)","LINESTRING (12.566863406399731 55.710819137918143, 12.56742505250778 55.710944153684729, 12.5683665425607 55.711142104025114, 12.569357897834378 55.711362784192723, 12.56926718166938 55.71168525831331)"
"200:1234->200:1235","Mathildevej (1234) - Peter Bangs Vej (1235)","LINESTRING (12.519718558814539 55.675440110472472, 12.519849196722834 55.675747308163771, 12.520026375562344 55.6761534979305, 12.520143424547795 55.676423572411913, 12.520294235167649 55.676771803653423, 12.520445787923316 55.677126487386012, 12.520551389997287 55.677373601925119, 12.52069227773678 55.677698110063616, 12.520724032930405 55.677771648792579, 12.520729797113367 55.677784431200912, 12.520891712018615 55.678148078299913, 12.521166908174308 55.67879278690264, 12.521234975982741 55.678960413967246, 12.521311928346174 55.679149809861919)"
"200:28000->200:2747","Bella Center, Indgang Vest (28000) - Vandrerhjem (2747)","LINESTRING (12.577987717855267 55.6393055933588, 12.57697991600995 55.63943336583003, 12.576121484867791 55.639538355612231, 12.5757571939359 55.639589808131518, 12.575528466232743 55.639637304508128, 12.575622033930326 55.639894528504591, 12.575796562312664 55.640296856319289, 12.575913851441891 55.640657243680785, 12.575921474945421 55.640695506289745, 12.575962162118635 55.640819125758846, 12.576014769228472 55.640940958713209, 12.576047292280709 55.641048271404316, 12.575975904308249 55.641051703197675, 12.575874482986109 55.641055291910853, 12.575750562433324 55.641059716831769, 12.575614282316844 55.641064592143245, 12.575016694256984 55.641085802230279, 12.574770247305315 55.641095822482924)"
"200:1274->200:1275","Peter Bangs Vej (1274) - Mathildevej (1275)","LINESTRING (12.521192648300056 55.678856175959289, 12.521166908174308 55.67879278690264, 12.520891712018615 55.678148078299913, 12.520729797113367 55.677784431200912, 12.520724032930405 55.677771648792579, 12.52069227773678 55.677698110063616, 12.520551389997287 55.677373601925119, 12.520445787923316 55.677126487386012, 12.520294235167649 55.676771803653423, 12.520143424547795 55.676423572411913, 12.520026375562344 55.6761534979305, 12.519993854818603 55.676078943474153)"
"200:1220->200:1221","Artillerivej (1220) - Sluseholmen (1221)","LINESTRING (12.562738517548844 55.641523656787847, 12.562486215299698 55.641509218283247, 12.561791054328252 55.641452273753046, 12.561568646920396 55.641420881828772, 12.560144160805116 55.641258066593124, 12.559661581096021 55.641203027237424, 12.558563334588692 55.641062908301571, 12.557846408704966 55.640986701735095, 12.557218258296032 55.640939205672446, 12.556590919205792 55.640909396642229, 12.555982157783202 55.64089684907141, 12.555528077445054 55.640901750969029, 12.55477186061372 55.640928632950306, 12.554193847462859 55.640972911705049, 12.554073863390922 55.640983944305638, 12.553713150438028 55.641017423124353, 12.553573357713493 55.641030917877124, 12.553504805043051 55.641037581274347, 12.553274788638447 55.641067718795476, 12.552837210013868 55.641124913824129, 12.552436099361959 55.641191570563478, 12.551852211449638 55.64130443564521, 12.551450933234349 55.641386829513088, 12.55132419247065 55.641412801643433, 12.551234686288819 55.641435626635058, 12.550719383319439 55.641566820208531, 12.550047495009926 55.641759644892318, 12.549427312431691 55.641959960081977, 12.54899113344146 55.642124102251181, 12.548854151005697 55.6421757250281, 12.548617532314193 55.642264760845769, 12.548141959491915 55.642457465276934, 12.547591151533011 55.642688492302312, 12.546994568954965 55.642949615035761, 12.54653144592414 55.64316236386076, 12.546377585684588 55.643236171220629)"
"200:1609->200:48751","Sundby Kirkegård (1609) - Lergravsparken St., Sløjfen (48751)","LINESTRING (12.616595042436005 55.656671689295067, 12.616203268400321 55.657262490338631, 12.616067130081872 55.657467656708974, 12.615485533249627 55.658345522840342, 12.6152603349841 55.658673267672363, 12.61514725283056 55.658859499168962, 12.614716929456744 55.659503424785825, 12.614447850534667 55.659905656334594, 12.61403127929945 55.660521298570316, 12.614372646718564 55.660592161483009, 12.61526085870684 55.660776561162237, 12.615381276357995 55.660795579563413, 12.615545482411111 55.660806472460266, 12.616614192610793 55.660893820682354, 12.616856789441979 55.660913009561476, 12.616918065031276 55.6609202834948, 12.617111216874482 55.660943178752575, 12.617041510839304 55.660987587699005, 12.616998074258783 55.661027085194377, 12.616970511904388 55.661062787265216, 12.61693299206209 55.66111640737757, 12.616884329314141 55.66117683046263, 12.6168425880319 55.661226079115579, 12.616795491183698 55.661301742294818, 12.616776760047314 55.661350401940439, 12.616777292633444 55.661395795635983, 12.616782462115447 55.661403848152062)"
"200:28007->200:28002","Digevej (28007) - Bella Center St. (28002)","LINESTRING (12.586942648170087 55.641507387899857, 12.586179563050992 55.641303671385593, 12.586117576829336 55.641288220815817, 12.585991644395701 55.64125674750359, 12.585689347219089 55.641181248741624, 12.585129855165944 55.641059232231704, 12.58460339530183 55.640968078258666, 12.584309060067332 55.640925703095988, 12.58413901248807 55.640903790649659, 12.58392777571976 55.640876518440471, 12.583837203972756 55.640864869996712, 12.583603525910915 55.640844278028894, 12.583586937265144 55.640721934272314, 12.58354386854373 55.640626441208504, 12.583494884730662 55.64052015102034, 12.583460159044392 55.640441138840515, 12.583276977893945 55.639899789794192, 12.58319226774594 55.639620012073756, 12.582879715174903 55.638892806712796, 12.58284840128448 55.638725844165023, 12.582838418853751 55.638672274763927, 12.582101247380336 55.638767827209747, 12.582049718193318 55.638774548652457, 12.581929368280862 55.638790148945596)"
"200:1989->200:1990","Nørrebro St. (1989) - Hillerødgade (1990)","LINESTRING (12.537094444234475 55.700685551636184, 12.536974897486708 55.700411706692719, 12.536795866383194 55.700081660738256, 12.536479875049126 55.699524028767954, 12.536165139114642 55.6989660901478, 12.535857621425928 55.6984033570055, 12.535735107978988 55.69812239327284, 12.53561247479495 55.697840084142534, 12.535582255495665 55.697629022317031, 12.535583894732113 55.697518557742704, 12.535596275928251 55.697424777718346, 12.535600622212721 55.697391832951084, 12.53564837325685 55.697183828607059, 12.535655517962796 55.697109621459596, 12.535718839964844 55.696772677681736, 12.5357364171558 55.696637745963081, 12.535446297287393 55.696323298421646)"
