;TimeOfDay;HeadwayTime_L1;LinkTravelTime_L1;HeadwayTime_L2;LinkTravelTime_L2;HeadwayTime_L3;LinkTravelTime_L3;DayType_1;DayType_2;DayType_3;LinkRef_200:10427->200:1183;LinkRef_200:1183->200:2673;LinkRef_200:1188->200:1190;LinkRef_200:1190->200:1192;LinkRef_200:1192->200:1193;LinkRef_200:2673->200:2675;LinkRef_200:2675->200:1188;LinkTravelTime
436004;16;122.0;67.0;1359.0;41.0;1756.0;66.0;0;0;1;0;1;0;0;0;0;0;82.0
436005;16;102.0;57.0;1339.0;58.0;1721.0;70.0;0;0;1;0;0;0;0;0;1;0;57.0
436006;16;89.0;45.0;1313.0;45.0;1697.0;52.0;0;0;1;0;0;0;0;0;0;1;36.0
436007;16;137.0;63.0;1341.0;85.0;1698.0;90.0;0;0;1;0;0;1;0;0;0;0;113.0
436008;16;174.0;146.0;1366.0;178.0;1769.0;86.0;0;0;1;0;0;0;1;0;0;0;187.0
436009;16;191.0;50.0;1381.0;52.0;1772.0;42.0;0;0;1;0;0;0;0;1;0;0;53.0
436048;16;916.0;65.0;1023.0;90.0;2665.0;75.0;0;0;1;1;0;0;0;0;0;0;39.0
436049;16;883.0;82.0;1005.0;67.0;2242.0;41.0;0;0;1;0;1;0;0;0;0;0;48.0
436050;16;926.0;57.0;1028.0;57.0;2265.0;58.0;0;0;1;0;0;0;0;0;1;0;57.0
436051;16;937.0;36.0;1026.0;45.0;2250.0;45.0;0;0;1;0;0;0;0;0;0;1;43.0
436052;16;880.0;113.0;1017.0;63.0;2221.0;85.0;0;0;1;0;0;1;0;0;0;0;56.0
436053;16;795.0;187.0;969.0;146.0;2161.0;178.0;0;0;1;0;0;0;1;0;0;0;118.0
436054;16;796.0;53.0;987.0;50.0;2177.0;52.0;0;0;1;0;0;0;0;1;0;0;51.0
436084;16;8.0;48.0;891.0;82.0;1013.0;67.0;0;0;1;0;1;0;0;0;0;0;48.0
436086;16;11.0;43.0;948.0;36.0;1037.0;45.0;0;0;1;0;0;0;0;0;0;1;54.0
436087;16;52.0;56.0;932.0;113.0;1069.0;63.0;0;0;1;0;0;1;0;0;0;0;97.0
436088;16;98.0;118.0;893.0;187.0;1067.0;146.0;0;0;1;0;0;0;1;0;0;0;164.0
436089;16;102.0;51.0;898.0;53.0;1089.0;50.0;0;0;1;0;0;0;0;1;0;0;53.0
436128;16;753.0;38.0;751.0;39.0;1667.0;65.0;0;0;1;1;0;0;0;0;0;0;112.0
436129;16;787.0;48.0;795.0;48.0;1678.0;82.0;0;0;1;0;1;0;0;0;0;0;90.0
436130;16;794.0;62.0;790.0;57.0;1716.0;57.0;0;0;1;0;0;0;0;0;1;0;73.0
436131;16;800.0;54.0;811.0;43.0;1748.0;36.0;0;0;1;0;0;0;0;0;0;1;65.0
436132;16;834.0;97.0;886.0;56.0;1766.0;113.0;0;0;1;0;0;1;0;0;0;0;95.0
436133;16;822.0;164.0;920.0;118.0;1715.0;187.0;0;0;1;0;0;0;1;0;0;0;131.0
436134;16;820.0;53.0;922.0;51.0;1718.0;53.0;0;0;1;0;0;0;0;1;0;0;54.0
436163;16;195.0;112.0;948.0;38.0;946.0;39.0;0;0;1;1;0;0;0;0;0;0;116.0
436164;16;200.0;90.0;987.0;48.0;995.0;48.0;0;0;1;0;1;0;0;0;0;0;77.0
436165;16;192.0;73.0;986.0;62.0;982.0;57.0;0;0;1;0;0;0;0;0;1;0;69.0
436166;16;176.0;65.0;976.0;54.0;987.0;43.0;0;0;1;0;0;0;0;0;0;1;53.0
436167;16;134.0;95.0;968.0;97.0;1020.0;56.0;0;0;1;0;0;1;0;0;0;0;89.0
436168;16;179.0;131.0;1001.0;164.0;1099.0;118.0;0;0;1;0;0;0;1;0;0;0;177.0
436169;16;181.0;54.0;1001.0;53.0;1103.0;51.0;0;0;1;0;0;0;0;1;0;0;54.0
436208;16;673.0;116.0;868.0;112.0;1621.0;38.0;0;0;1;1;0;0;0;0;0;0;45.0
436209;16;705.0;77.0;905.0;90.0;1692.0;48.0;0;0;1;0;1;0;0;0;0;0;127.0
436210;16;702.0;69.0;894.0;73.0;1688.0;62.0;0;0;1;0;0;0;0;0;1;0;67.0
436211;16;725.0;53.0;901.0;65.0;1701.0;54.0;0;0;1;0;0;0;0;0;0;1;56.0
436212;16;724.0;89.0;858.0;95.0;1692.0;97.0;0;0;1;0;0;1;0;0;0;0;88.0
436213;16;719.0;177.0;898.0;131.0;1720.0;164.0;0;0;1;0;0;0;1;0;0;0;174.0
436214;16;726.0;54.0;907.0;54.0;1727.0;53.0;0;0;1;0;0;0;0;1;0;0;56.0
436243;16;190.0;45.0;863.0;116.0;1058.0;112.0;0;0;1;1;0;0;0;0;0;0;40.0
436244;16;93.0;127.0;798.0;77.0;998.0;90.0;0;0;1;0;1;0;0;0;0;0;49.0
436245;16;92.0;67.0;794.0;69.0;986.0;73.0;0;0;1;0;0;0;0;0;1;0;62.0
436246;16;74.0;56.0;799.0;53.0;975.0;65.0;0;0;1;0;0;0;0;0;0;1;53.0
436247;16;68.0;88.0;792.0;89.0;926.0;95.0;0;0;1;0;0;1;0;0;0;0;82.0
436248;16;3.0;174.0;722.0;177.0;901.0;131.0;0;0;1;0;0;0;1;0;0;0;109.0
436249;16;11.0;56.0;737.0;54.0;918.0;54.0;0;0;1;0;0;0;0;1;0;0;87.0
436323;17;1403.0;40.0;1593.0;45.0;2266.0;116.0;0;0;1;1;0;0;0;0;0;0;115.0
436324;17;1421.0;49.0;1514.0;127.0;2219.0;77.0;0;0;1;0;1;0;0;0;0;0;67.0
436325;17;1431.0;62.0;1523.0;67.0;2225.0;69.0;0;0;1;0;0;0;0;0;1;0;93.0
436326;17;1448.0;53.0;1522.0;56.0;2247.0;53.0;0;0;1;0;0;0;0;0;0;1;96.0
436327;17;1433.0;82.0;1501.0;88.0;2225.0;89.0;0;0;1;0;0;1;0;0;0;0;67.0
436328;17;1533.0;109.0;1536.0;174.0;2255.0;177.0;0;0;1;0;0;0;1;0;0;0;227.0
436329;17;1518.0;87.0;1529.0;56.0;2255.0;54.0;0;0;1;0;0;0;0;1;0;0;72.0
436368;17;297.0;115.0;1700.0;40.0;1890.0;45.0;0;0;1;1;0;0;0;0;0;0;80.0
436369;17;313.0;67.0;1734.0;49.0;1827.0;127.0;0;0;1;0;1;0;0;0;0;0;65.0
436370;17;307.0;93.0;1738.0;62.0;1830.0;67.0;0;0;1;0;0;0;0;0;1;0;87.0
436371;17;285.0;96.0;1733.0;53.0;1807.0;56.0;0;0;1;0;0;0;0;0;0;1;54.0
436372;17;316.0;67.0;1749.0;82.0;1817.0;88.0;0;0;1;0;0;1;0;0;0;0;98.0
436373;17;251.0;227.0;1784.0;109.0;1787.0;174.0;0;0;1;0;0;0;1;0;0;0;162.0
436374;17;253.0;72.0;1771.0;87.0;1782.0;56.0;0;0;1;0;0;0;0;1;0;0;58.0
436403;17;76.0;80.0;373.0;115.0;1776.0;40.0;0;0;1;1;0;0;0;0;0;0;40.0
436404;17;46.0;65.0;359.0;67.0;1780.0;49.0;0;0;1;0;1;0;0;0;0;0;53.0
436405;17;48.0;87.0;355.0;93.0;1786.0;62.0;0;0;1;0;0;0;0;0;1;0;62.0
436406;17;54.0;54.0;339.0;96.0;1787.0;53.0;0;0;1;0;0;0;0;0;0;1;54.0
436407;17;42.0;98.0;358.0;67.0;1791.0;82.0;0;0;1;0;0;1;0;0;0;0;86.0
436408;17;3.0;162.0;254.0;227.0;1787.0;109.0;0;0;1;0;0;0;1;0;0;0;123.0
436409;17;3.0;58.0;256.0;72.0;1774.0;87.0;0;0;1;0;0;0;0;1;0;0;55.0
436448;17;724.0;40.0;800.0;80.0;1097.0;115.0;0;0;1;1;0;0;0;0;0;0;44.0
436449;17;760.0;53.0;806.0;65.0;1119.0;67.0;0;0;1;0;1;0;0;0;0;0;76.0
436450;17;751.0;62.0;799.0;87.0;1106.0;93.0;0;0;1;0;0;0;0;0;1;0;62.0
436451;17;767.0;54.0;821.0;54.0;1106.0;96.0;0;0;1;0;0;0;0;0;0;1;47.0
436452;17;813.0;86.0;855.0;98.0;1171.0;67.0;0;0;1;0;0;1;0;0;0;0;107.0
436453;17;813.0;123.0;816.0;162.0;1067.0;227.0;0;0;1;0;0;0;1;0;0;0;109.0
436454;17;814.0;55.0;817.0;58.0;1070.0;72.0;0;0;1;0;0;0;0;1;0;0;54.0
436493;17;609.0;44.0;1333.0;40.0;1409.0;80.0;0;0;1;1;0;0;0;0;0;0;45.0
436494;17;626.0;76.0;1386.0;53.0;1432.0;65.0;0;0;1;0;1;0;0;0;0;0;87.0
436495;17;623.0;62.0;1374.0;62.0;1422.0;87.0;0;0;1;0;0;0;0;0;1;0;62.0
436496;17;595.0;47.0;1362.0;54.0;1416.0;54.0;0;0;1;0;0;0;0;0;0;1;44.0
436497;17;569.0;107.0;1382.0;86.0;1424.0;98.0;0;0;1;0;0;1;0;0;0;0;106.0
436498;17;633.0;109.0;1446.0;123.0;1449.0;162.0;0;0;1;0;0;0;1;0;0;0;174.0
436499;17;629.0;54.0;1443.0;55.0;1446.0;58.0;0;0;1;0;0;0;0;1;0;0;56.0
436538;17;627.0;45.0;1236.0;44.0;1960.0;40.0;0;0;1;1;0;0;0;0;0;0;36.0
436539;17;590.0;87.0;1216.0;76.0;1976.0;53.0;0;0;1;0;1;0;0;0;0;0;52.0
436540;17;603.0;62.0;1226.0;62.0;1977.0;62.0;0;0;1;0;0;0;0;0;1;0;67.0
436541;17;601.0;44.0;1196.0;47.0;1963.0;54.0;0;0;1;0;0;0;0;0;0;1;48.0
436542;17;641.0;106.0;1210.0;107.0;2023.0;86.0;0;0;1;0;0;1;0;0;0;0;103.0
436543;17;541.0;174.0;1174.0;109.0;1987.0;123.0;0;0;1;0;0;0;1;0;0;0;73.0
436544;18;520.0;56.0;1149.0;54.0;1963.0;55.0;0;0;1;0;0;0;0;1;0;0;50.0
436583;18;621.0;36.0;1248.0;45.0;1857.0;44.0;0;0;1;1;0;0;0;0;0;0;42.0
436584;18;646.0;52.0;1236.0;87.0;1862.0;76.0;0;0;1;0;1;0;0;0;0;0;80.0
436585;18;644.0;67.0;1247.0;62.0;1870.0;62.0;0;0;1;0;0;0;0;0;1;0;64.0
436586;18;676.0;48.0;1277.0;44.0;1872.0;47.0;0;0;1;0;0;0;0;0;0;1;45.0
436587;18;648.0;103.0;1289.0;106.0;1858.0;107.0;0;0;1;0;0;1;0;0;0;0;92.0
436588;18;729.0;73.0;1270.0;174.0;1903.0;109.0;0;0;1;0;0;0;1;0;0;0;143.0
436589;18;738.0;50.0;1258.0;56.0;1887.0;54.0;0;0;1;0;0;0;0;1;0;0;42.0
436628;18;536.0;42.0;1157.0;36.0;1784.0;45.0;0;0;1;1;0;0;0;0;0;0;110.0
436629;18;499.0;80.0;1145.0;52.0;1735.0;87.0;0;0;1;0;1;0;0;0;0;0;57.0
436630;18;471.0;64.0;1115.0;67.0;1718.0;62.0;0;0;1;0;0;0;0;0;1;0;60.0
436631;18;450.0;45.0;1126.0;48.0;1727.0;44.0;0;0;1;0;0;0;0;0;0;1;77.0
436632;18;394.0;92.0;1042.0;103.0;1683.0;106.0;0;0;1;0;0;1;0;0;0;0;62.0
436633;18;338.0;143.0;1067.0;73.0;1608.0;174.0;0;0;1;0;0;0;1;0;0;0;112.0
436634;18;334.0;42.0;1072.0;50.0;1592.0;56.0;0;0;1;0;0;0;0;1;0;0;55.0
436673;18;755.0;110.0;1291.0;42.0;1912.0;36.0;0;0;1;1;0;0;0;0;0;0;71.0
436674;18;768.0;57.0;1267.0;80.0;1913.0;52.0;0;0;1;0;1;0;0;0;0;0;52.0
436675;18;789.0;60.0;1260.0;64.0;1904.0;67.0;0;0;1;0;0;0;0;0;1;0;61.0
436676;18;798.0;77.0;1248.0;45.0;1924.0;48.0;0;0;1;0;0;0;0;0;0;1;52.0
436677;18;863.0;62.0;1257.0;92.0;1905.0;103.0;0;0;1;0;0;1;0;0;0;0;99.0
436678;18;918.0;112.0;1256.0;143.0;1985.0;73.0;0;0;1;0;0;0;1;0;0;0;148.0
436679;18;923.0;55.0;1257.0;42.0;1995.0;50.0;0;0;1;0;0;0;0;1;0;0;44.0
436718;18;400.0;71.0;1155.0;110.0;1691.0;42.0;0;0;1;1;0;0;0;0;0;0;39.0
436719;18;423.0;52.0;1191.0;57.0;1690.0;80.0;0;0;1;0;1;0;0;0;0;0;74.0
436720;18;419.0;61.0;1208.0;60.0;1679.0;64.0;0;0;1;0;0;0;0;0;1;0;61.0
436721;18;402.0;52.0;1200.0;77.0;1650.0;45.0;0;0;1;0;0;0;0;0;0;1;46.0
436722;18;334.0;99.0;1197.0;62.0;1591.0;92.0;0;0;1;0;0;1;0;0;0;0;59.0
436723;18;356.0;148.0;1274.0;112.0;1612.0;143.0;0;0;1;0;0;0;1;0;0;0;171.0
436724;18;344.0;44.0;1267.0;55.0;1601.0;42.0;0;0;1;0;0;0;0;1;0;0;48.0
436763;18;596.0;39.0;996.0;71.0;1751.0;110.0;0;0;1;1;0;0;0;0;0;0;46.0
436764;18;592.0;74.0;1015.0;52.0;1783.0;57.0;0;0;1;0;1;0;0;0;0;0;74.0
436765;18;588.0;61.0;1007.0;61.0;1796.0;60.0;0;0;1;0;0;0;0;0;1;0;58.0
436766;18;590.0;46.0;992.0;52.0;1790.0;77.0;0;0;1;0;0;0;0;0;0;1;48.0
436767;18;613.0;59.0;947.0;99.0;1810.0;62.0;0;0;1;0;0;1;0;0;0;0;82.0
436768;18;542.0;171.0;898.0;148.0;1816.0;112.0;0;0;1;0;0;0;1;0;0;0;99.0
436769;18;557.0;48.0;901.0;44.0;1824.0;55.0;0;0;1;0;0;0;0;1;0;0;47.0
436808;18;475.0;46.0;1071.0;39.0;1471.0;71.0;0;0;1;1;0;0;0;0;0;0;47.0
436809;18;478.0;74.0;1070.0;74.0;1493.0;52.0;0;0;1;0;1;0;0;0;0;0;75.0
436810;18;484.0;58.0;1072.0;61.0;1491.0;61.0;0;0;1;0;0;0;0;0;1;0;63.0
436811;18;489.0;48.0;1079.0;46.0;1481.0;52.0;0;0;1;0;0;0;0;0;0;1;53.0
436812;18;483.0;82.0;1096.0;59.0;1430.0;99.0;0;0;1;0;0;1;0;0;0;0;75.0
436813;18;523.0;99.0;1065.0;171.0;1421.0;148.0;0;0;1;0;0;0;1;0;0;0;158.0
436814;18;512.0;47.0;1069.0;48.0;1413.0;44.0;0;0;1;0;0;0;0;1;0;0;52.0
436853;18;653.0;47.0;1128.0;46.0;1724.0;39.0;0;0;1;1;0;0;0;0;0;0;92.0
436854;19;632.0;75.0;1110.0;74.0;1702.0;74.0;0;0;1;0;1;0;0;0;0;0;39.0
436855;19;628.0;63.0;1112.0;58.0;1700.0;61.0;0;0;1;0;0;0;0;0;1;0;61.0
436856;19;621.0;53.0;1110.0;48.0;1700.0;46.0;0;0;1;0;0;0;0;0;0;1;45.0
436857;19;635.0;75.0;1118.0;82.0;1731.0;59.0;0;0;1;0;0;1;0;0;0;0;90.0
436858;19;643.0;158.0;1166.0;99.0;1708.0;171.0;0;0;1;0;0;0;1;0;0;0;150.0
436859;19;636.0;52.0;1148.0;47.0;1705.0;48.0;0;0;1;0;0;0;0;1;0;0;45.0
436898;19;644.0;92.0;1297.0;47.0;1772.0;46.0;0;0;1;1;0;0;0;0;0;0;45.0
436899;19;644.0;39.0;1276.0;75.0;1754.0;74.0;0;0;1;0;1;0;0;0;0;0;54.0
436900;19;637.0;61.0;1265.0;63.0;1749.0;58.0;0;0;1;0;0;0;0;0;1;0;68.0
436901;19;633.0;45.0;1254.0;53.0;1743.0;48.0;0;0;1;0;0;0;0;0;0;1;46.0
436902;19;610.0;90.0;1245.0;75.0;1728.0;82.0;0;0;1;0;0;1;0;0;0;0;67.0
436903;19;630.0;150.0;1273.0;158.0;1796.0;99.0;0;0;1;0;0;0;1;0;0;0;170.0
436904;19;628.0;45.0;1264.0;52.0;1776.0;47.0;0;0;1;0;0;0;0;1;0;0;43.0
436943;19;904.0;45.0;1548.0;92.0;2201.0;47.0;0;0;1;1;0;0;0;0;0;0;95.0
436944;19;897.0;54.0;1541.0;39.0;2173.0;75.0;0;0;1;0;1;0;0;0;0;0;64.0
436945;19;888.0;68.0;1525.0;61.0;2153.0;63.0;0;0;1;0;0;0;0;0;1;0;59.0
436946;19;895.0;46.0;1528.0;45.0;2149.0;53.0;0;0;1;0;0;0;0;0;0;1;72.0
436947;19;904.0;67.0;1514.0;90.0;2149.0;75.0;0;0;1;0;0;1;0;0;0;0;76.0
436948;19;915.0;170.0;1545.0;150.0;2188.0;158.0;0;0;1;0;0;0;1;0;0;0;197.0
436949;19;931.0;43.0;1559.0;45.0;2195.0;52.0;0;0;1;0;0;0;0;1;0;0;59.0
436988;19;470.0;95.0;1374.0;45.0;2018.0;92.0;0;0;1;1;0;0;0;0;0;0;69.0
436989;19;463.0;64.0;1360.0;54.0;2004.0;39.0;0;0;1;0;1;0;0;0;0;0;57.0
436990;19;487.0;59.0;1375.0;68.0;2012.0;61.0;0;0;1;0;0;0;0;0;1;0;64.0
436991;19;496.0;72.0;1391.0;46.0;2024.0;45.0;0;0;1;0;0;0;0;0;0;1;58.0
436992;19;507.0;76.0;1411.0;67.0;2021.0;90.0;0;0;1;0;0;1;0;0;0;0;87.0
436993;19;444.0;197.0;1359.0;170.0;1989.0;150.0;0;0;1;0;0;0;1;0;0;0;112.0
436994;19;428.0;59.0;1359.0;43.0;1987.0;45.0;0;0;1;0;0;0;0;1;0;0;43.0
437078;19;1098.0;69.0;1568.0;95.0;2472.0;45.0;0;0;1;1;0;0;0;0;0;0;72.0
437079;19;1119.0;57.0;1582.0;64.0;2479.0;54.0;0;0;1;0;1;0;0;0;0;0;63.0
437080;19;1099.0;64.0;1586.0;59.0;2474.0;68.0;0;0;1;0;0;0;0;0;1;0;63.0
